# conflictIndex, flightIndex1, flightIndex2, lat1, lon1, time1, lat2, lon2, time2
276, 84, 0, 35.967098, -73.627434, 337.000000, 35.967098, -73.627434, 326.000000
277, 93, 223, 36.046597, -72.400719, 361.000000, 36.044331, -72.501854, 356.000000
278, 87, 0, 36.193905, 28.868387, 775.000000, 36.193905, 28.868387, 719.000000
279, 87, 234, 36.193905, 28.868387, 775.000000, 36.193905, 28.868387, 743.000000
280, 225, 0, 36.193905, 28.868387, 743.000000, 36.193905, 28.868387, 719.000000
281, 399, 357, 36.319263, -90.327942, 1079.000000, 36.317001, -90.288620, 1050.000000
282, 410, 333, 36.476006, -89.889046, 1034.000000, 36.476841, -89.889565, 1035.000000
283, 226, 88, 36.303020, -82.996162, 268.000000, 36.303020, -82.996162, 297.000000
284, 88, 255, 36.780128, -81.697021, 305.000000, 36.780128, -81.697021, 276.000000
285, 755, 781, 36.473492, -79.899361, 1051.000000, 36.473492, -79.899361, 1054.000000
286, 84, 211, 36.321503, -73.330658, 340.000000, 36.321503, -73.330658, 329.000000
287, 234, 0, 36.717735, 27.879499, 762.000000, 36.717735, 27.879499, 782.000000
288, 90, 0, 36.717735, 27.879499, 782.000000, 36.717735, 27.879499, 762.000000
289, 208, 234, 36.553417, 28.319244, 715.000000, 36.553417, 28.319244, 739.000000
290, 87, 208, 36.733116, 28.043285, 769.000000, 36.733116, 28.043285, 713.000000
291, 87, 234, 36.553417, 28.319244, 771.000000, 36.553417, 28.319244, 739.000000
292, 225, 208, 36.643345, 28.181423, 738.000000, 36.643345, 28.181423, 714.000000
293, 90, 739, 36.354229, 28.434021, 786.000000, 36.354229, 28.434021, 766.000000
294, 224, 242, 36.539501, 32.806122, 1383.000000, 36.539501, 32.806122, 1396.000000
295, 430, 613, 36.937901, -115.851822, 1230.000000, 36.937901, -115.851822, 1279.000000
296, 174, 201, 37.026405, -115.254028, 63.000000, 37.026405, -115.254028, 80.000000
297, 410, 333, 37.009022, -89.405640, 1029.000000, 37.009975, -89.404503, 1030.000000
298, 731, 760, 36.850567, -80.482704, 1381.000000, 36.850567, -80.482704, 1407.000000
299, 84, 211, 37.032490, -72.727722, 346.000000, 37.032490, -72.727722, 335.000000
300, 234, 90, 37.265316, 27.041271, 756.000000, 37.265316, 27.041271, 776.000000
301, 87, 234, 36.914318, 27.766607, 767.000000, 36.914318, 27.766607, 735.000000
302, 225, 0, 36.914318, 27.766607, 735.000000, 36.914318, 27.766607, 711.000000
303, 224, 250, 37.265518, 32.464348, 1389.000000, 37.265518, 32.464348, 1402.000000
