conflictIndex,flight1,flight2,lat1,lat2,lon1,lon2,time1,time2
5067,354,410,32.62563705444336,32.62535858154297,-93.302978515625,-93.29409790039062,1083.0,1070.0
5068,354,424,55.18617248535156,55.18498229980469,-65.79639434814453,-65.80570220947266,867.0,919.0
5069,354,572,60.867469787597656,60.871238708496094,-38.57333755493164,-38.58537292480469,754.0,811.0
5070,354,747,29.984434127807617,29.984434127807617,-95.34143829345703,-95.34143829345703,1106.0,1096.0
5071,354,946,29.984434127807617,29.984434127807617,-95.34143829345703,-95.34143829345703,1106.0,1048.0
5072,355,357,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,584.0,580.0
5073,355,365,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,584.0,576.0
5074,355,367,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,584.0,594.0
5075,355,369,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,584.0,587.0
5076,355,375,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,584.0,589.0
5077,355,378,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,584.0,593.0
5078,355,399,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,584.0,608.0
5079,355,406,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,584.0,623.0
5080,355,411,39.00782012939453,39.00040054321289,-77.36951446533203,-77.38324737548828,1036.0,1084.0
5081,355,415,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,584.0,614.0
5082,355,417,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,584.0,614.0
5083,355,418,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,584.0,634.0
5084,355,428,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,584.0,628.0
5085,355,463,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,584.0,569.0
5086,355,572,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,584.0,642.0
5087,355,595,51.83213806152344,51.839962005615234,-2.2318432331085205,-2.343642473220825,593.0,641.0
5088,355,708,45.56026840209961,45.55412292480469,-65.47627258300781,-65.91895294189453,938.0,935.0
